"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$start_hour","all_trips_v2$ride_length"
"266","member","Saturday",18,31557
"267","casual","Sunday",19,16227
"268","member","Sunday",19,20107
"269","casual","Monday",19,17213
"270","member","Monday",19,31291
"271","casual","Tuesday",19,18316
"272","member","Tuesday",19,34152
"273","casual","Wednesday",19,20960
"274","member","Wednesday",19,36533
"275","casual","Thursday",19,22074
"276","member","Thursday",19,35828
"277","casual","Friday",19,22885
"278","member","Friday",19,31036
"279","casual","Saturday",19,24321
"280","member","Saturday",19,25479
"281","casual","Sunday",20,11644
"282","member","Sunday",20,14968
"283","casual","Monday",20,12558
"284","member","Monday",20,21560
"285","casual","Tuesday",20,12942
"286","member","Tuesday",20,23138
"287","casual","Wednesday",20,15188
"288","member","Wednesday",20,25387
"289","casual","Thursday",20,15652
"290","member","Thursday",20,24165
"291","casual","Friday",20,16553
"292","member","Friday",20,21346
"293","casual","Saturday",20,18646
"294","member","Saturday",20,18759
"295","casual","Sunday",21,9845
"296","member","Sunday",21,11709
"297","casual","Monday",21,9793
"298","member","Monday",21,15715
"299","casual","Tuesday",21,11329
"300","member","Tuesday",21,17860
"301","casual","Wednesday",21,13428
"302","member","Wednesday",21,19653
"303","casual","Thursday",21,13505
"304","member","Thursday",21,19563
"305","casual","Friday",21,13992
"306","member","Friday",21,16501
"307","casual","Saturday",21,17232
"308","member","Saturday",21,16087
"309","casual","Sunday",22,8353
"310","member","Sunday",22,8745
"311","casual","Monday",22,7451
"312","member","Monday",22,9865
"313","casual","Tuesday",22,8324
"314","member","Tuesday",22,11453
"315","casual","Wednesday",22,10070
"316","member","Wednesday",22,13470
"317","casual","Thursday",22,12426
"318","member","Thursday",22,15300
"319","casual","Friday",22,14560
"320","member","Friday",22,14913
"321","casual","Saturday",22,17507
"322","member","Saturday",22,14593
"323","casual","Sunday",23,5574
"324","member","Sunday",23,5296
"325","casual","Monday",23,4859
"326","member","Monday",23,5477
"327","casual","Tuesday",23,4882
"328","member","Tuesday",23,6011
"329","casual","Wednesday",23,6123
"330","member","Wednesday",23,7292
"331","casual","Thursday",23,7761
"332","member","Thursday",23,9000
"333","casual","Friday",23,13480
"334","member","Friday",23,11931
"335","casual","Saturday",23,16442
"336","member","Saturday",23,12761
